City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,ust-kulom,61.69,53.69,265.74,94,93,3.08,RU,265.74
303,tekeli,44.83,78.82,273.34,25,75,2.92,KZ,273.34
304,pauini,-7.71,-66.98,302.05,66,100,1.37,BR,302.05
305,kawalu,-7.38,108.21,295.22,94,98,0.85,ID,295.22
306,salalah,17.02,54.09,297.15,44,21,11.3,OM,297.15
307,comarapa,-17.9,-64.48,296.93,63,77,2.36,BO,296.93
308,torbat-e jam,35.24,60.62,273.33,32,31,2.85,IR,273.33
309,nantucket,41.28,-70.1,279.26,41,1,5.7,US,279.26
310,durango,24.83,-104.83,289.52,11,0,8.75,MX,289.52
311,klyuchi,52.27,79.17,254.53,77,0,3.15,RU,254.53
312,kolpashevo,58.31,82.91,257.57,95,97,2.71,RU,257.57
313,saskylakh,71.92,114.08,244.21,86,83,3.81,RU,244.21
314,dunedin,-45.87,170.5,288.15,75,100,1.34,NZ,288.15
315,whitehorse,60.72,-135.05,267.15,79,90,10.8,CA,267.15
316,curumani,9.2,-73.54,304.76,37,45,2.65,CO,304.76
317,sembabule,-0.08,31.46,294.96,67,21,2.18,UG,294.96
318,richards bay,-28.78,32.04,297.93,71,0,5.31,ZA,297.93
319,mar del plata,-38.0,-57.56,302.59,65,0,8.94,AR,302.59
320,marzuq,14.4,46.47,289.73,61,51,3.74,YE,289.73
321,baykit,61.67,96.37,250.33,98,97,1.33,RU,250.33
322,barsovo,61.17,73.17,264.15,92,88,3.0,RU,264.15
323,harlingen,26.19,-97.7,288.15,82,75,6.2,US,288.15
324,oda,35.18,132.5,282.21,96,98,1.62,JP,282.21
325,porto novo,6.5,2.6,302.15,51,0,2.6,BJ,302.15
326,broome,42.25,-75.83,277.04,71,1,3.1,US,277.04
327,figeac,44.75,1.92,278.15,93,52,1.5,FR,278.15
328,nome,64.5,-165.41,250.93,63,1,1.5,US,250.93
329,adelaide,-34.93,138.6,292.15,82,20,2.1,AU,292.15
330,wanning,18.8,110.4,294.47,94,3,3.56,CN,294.47
331,arlit,18.74,7.39,296.96,8,97,2.72,NE,296.96
332,fairbanks,64.84,-147.72,252.15,76,40,1.83,US,252.15
333,iqaluit,63.75,-68.51,242.59,61,20,5.1,CA,242.59
334,kaniama,-7.57,24.18,294.39,92,78,0.91,CD,294.39
335,beipiao,41.79,120.78,272.58,94,18,2.11,CN,272.58
336,hovd,48.01,91.64,259.03,57,0,2.61,MN,259.03
337,ransang,8.96,117.58,298.39,64,9,1.76,PH,298.39
338,acqui terme,44.68,8.47,284.82,71,0,2.6,IT,284.82
339,noumea,-22.28,166.46,299.82,88,75,1.5,NC,299.82
340,saint-augustin,51.23,-58.65,267.36,87,100,2.18,CA,267.36
341,ligayan,4.65,119.47,300.57,75,57,3.83,PH,300.57
